STATUS,MINUTES,ORTG,DRTG,NET,2FG%,3FG%,O2FG%,O3FG%
ON,16411,119.3,110.4,8.9,58.6,37,50.4,35.9
OFF,14310,111.4,114,-2.6,52.8,37.2,52.9,36.3
