PLAYER,PPG,RPG,APG,TOV,2FG%,3FG%,FT%,2FGA,3FGA,FTA,MOCK_POS
Nate Ament,16.7,6.3,2.3,2.3,43,33.3,79,8.3,3.9,7.1,"#9 ESPN, #10 Ringer, #10 CBS"
Brayden Burries,16.1,4.9,2.4,1.5,56.2,39.1,80.5,6.4,4.6,4.3,"#10 ESPN, #9 Ringer, #9 CBS"
